epoch, 0, time used, 320, seconds, train loss, 0.3236196653, validation loss:, 0.2790232089
epoch, 1, time used, 320, seconds, train loss, 0.2844864270, validation loss:, 0.2661319314
epoch, 2, time used, 320, seconds, train loss, 0.2720039945, validation loss:, 0.2661477512
epoch, 3, time used, 320, seconds, train loss, 0.2669491886, validation loss:, 0.2689234235
epoch, 4, time used, 320, seconds, train loss, 0.2633454157, validation loss:, 0.2524489597
epoch, 5, time used, 320, seconds, train loss, 0.2613521986, validation loss:, 0.2561134932
epoch, 6, time used, 320, seconds, train loss, 0.2584657493, validation loss:, 0.2545965974
epoch, 7, time used, 320, seconds, train loss, 0.2571350906, validation loss:, 0.2519905999
epoch, 8, time used, 320, seconds, train loss, 0.2552403738, validation loss:, 0.2488940148
epoch, 9, time used, 320, seconds, train loss, 0.2531959205, validation loss:, 0.2502761502
epoch, 10, time used, 320, seconds, train loss, 0.2521879244, validation loss:, 0.2515854048
epoch, 11, time used, 320, seconds, train loss, 0.2521085471, validation loss:, 0.2542174086
epoch, 12, time used, 320, seconds, train loss, 0.2501800700, validation loss:, 0.2571702253
epoch, 13, time used, 320, seconds, train loss, 0.2513052738, validation loss:, 0.2497098876
epoch, 14, time used, 320, seconds, train loss, 0.2483145565, validation loss:, 0.2475501089
epoch, 15, time used, 320, seconds, train loss, 0.2473447750, validation loss:, 0.2474030541
epoch, 16, time used, 320, seconds, train loss, 0.2470528510, validation loss:, 0.2533225695
epoch, 17, time used, 320, seconds, train loss, 0.2479843952, validation loss:, 0.2476542658
epoch, 18, time used, 320, seconds, train loss, 0.2464336171, validation loss:, 0.2504368005
epoch, 19, time used, 320, seconds, train loss, 0.2455762434, validation loss:, 0.2531335285
epoch, 20, time used, 320, seconds, train loss, 0.2461658241, validation loss:, 0.2468833897
epoch, 21, time used, 320, seconds, train loss, 0.2459701270, validation loss:, 0.2455991970
epoch, 22, time used, 320, seconds, train loss, 0.2450061382, validation loss:, 0.2546487603
epoch, 23, time used, 320, seconds, train loss, 0.2460687345, validation loss:, 0.2454256144
epoch, 24, time used, 320, seconds, train loss, 0.2447699406, validation loss:, 0.2698163648
epoch, 25, time used, 320, seconds, train loss, 0.2424247235, validation loss:, 0.2467391671
epoch, 26, time used, 320, seconds, train loss, 0.2435713458, validation loss:, 0.2488212603
epoch, 27, time used, 320, seconds, train loss, 0.2430335385, validation loss:, 0.2484788941
epoch, 28, time used, 319, seconds, train loss, 0.2422177344, validation loss:, 0.2478832594
epoch, 29, time used, 320, seconds, train loss, 0.2433554595, validation loss:, 0.2458058083
epoch, 30, time used, 320, seconds, train loss, 0.2427662430, validation loss:, 0.2434114892
epoch, 31, time used, 320, seconds, train loss, 0.2416876155, validation loss:, 0.2474083778
epoch, 32, time used, 320, seconds, train loss, 0.2421024625, validation loss:, 0.2476259893
epoch, 33, time used, 320, seconds, train loss, 0.2416991858, validation loss:, 0.2477555787
epoch, 34, time used, 320, seconds, train loss, 0.2407514701, validation loss:, 0.2463638773
epoch, 35, time used, 320, seconds, train loss, 0.2413976893, validation loss:, 0.2547623712
epoch, 36, time used, 320, seconds, train loss, 0.2400829056, validation loss:, 0.2500992524
epoch, 37, time used, 320, seconds, train loss, 0.2397681706, validation loss:, 0.2475755607
epoch, 38, time used, 320, seconds, train loss, 0.2397544138, validation loss:, 0.2524932630
epoch, 39, time used, 320, seconds, train loss, 0.2402024062, validation loss:, 0.2447769292
